ID,PredictedProb
0,0.171594649553
2,0.56656652689
7,0.326104044914
10,0.534869790077
11,0.385198533535
14,0.293183863163
15,0.798977136612
18,0.72175437212
19,0.739328742027
20,0.699242591858
25,0.689914047718
26,0.721389710903
29,0.668917059898
44,0.229676678777
45,0.11722869426
47,0.823406636715
48,0.37166801095
56,0.218308657408
59,0.711642801762
60,0.370675444603
65,0.886479198933
66,0.315494716167
68,0.69209331274
70,0.864826500416
71,0.70149409771
72,0.361830472946
76,0.583814442158
82,0.779835522175
83,0.767012536526
86,0.484190225601
87,0.514932096004
97,0.682975888252
99,0.449976116419
102,0.195810571313
103,0.265014797449
106,0.752471625805
107,0.286313980818
109,0.77458524704
114,0.360752731562
120,0.895056188107
128,0.135669872165
129,0.634438037872
131,0.803203225136
134,0.490710735321
140,0.680098295212
142,0.583395183086
144,0.715065538883
146,0.77438724041
152,0.804593622684
159,0.395251512527
160,0.737054288387
161,0.35859850049
166,0.28973993659
171,0.429228931665
179,0.694357633591
181,0.615710258484
185,0.381079912186
187,0.542092382908
188,0.43293595314
191,0.397692143917
193,0.579307198524
197,0.27468329668
211,0.520689308643
213,0.539162576199
221,0.440548062325
225,0.669902920723
229,0.476723402739
238,0.635667681694
242,0.529839336872
246,0.595287084579
248,0.917505025864
255,0.329178482294
257,0.860279262066
259,0.604408919811
270,0.318206757307
272,0.473187953234
278,0.705295801163
280,0.195044904947
281,0.259236037731
282,0.162069573998
283,0.640870392323
284,0.882217109203
287,0.899157226086
288,0.683726429939
290,0.291431814432
294,0.18623483181
299,0.324474036694
305,0.450756341219
313,0.331180840731
319,0.297289133072
323,0.792065322399
324,0.851410269737
327,0.337377935648
329,0.934578120708
337,0.382805496454
338,0.467133194208
347,0.707295715809
348,0.543399870396
350,0.880887150764
352,0.635639846325
359,0.729052603245
364,0.436918139458
368,0.58280313015
384,0.293045133352
389,0.806074202061
391,0.572562277317
395,0.44816878438
396,0.568235695362
399,0.570687770844
404,0.700155377388
410,0.687683224678
414,0.424234777689
416,0.336114197969
418,0.414384037256
420,0.909856557846
423,0.41273483634
429,0.93249797821
430,0.343695729971
432,0.340947508812
433,0.693209111691
452,0.420149534941
454,0.295684844255
458,0.769004166126
465,0.859674036503
467,0.73003667593
473,0.665331423283
474,0.856829345226
481,0.574216544628
484,0.47361433506
487,0.850972235203
491,0.445890516043
496,0.505226552486
498,0.231583103538
501,0.329993188381
502,0.7054926157
509,0.256514102221
513,0.417598485947
515,0.693791627884
521,0.326205760241
525,0.648722529411
529,0.529960513115
530,0.357532829046
531,0.449624478817
534,0.313761711121
535,0.843861043453
541,0.346515744925
543,0.565267622471
545,0.29464623332
549,0.788680136204
556,0.677247583866
558,0.365995496511
560,0.578476667404
563,0.378568261862
564,0.826743602753
567,0.130304649472
572,0.246933400631
577,0.682007908821
588,0.446731895208
590,0.52915585041
591,0.616187214851
594,0.534078598022
597,0.578347146511
599,0.807313621044
603,0.354137271643
606,0.777084767818
607,0.411732763052
